,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,0.22505,0.2282,0.22124,0.22572,27050889.8,1.53E+12,6090923.909,10023,14193731.54,3195601.037,0,2018/6/1 0:00
1.53E+12,0.22588,0.2262,0.21636,0.2233,25380490.62,1.53E+12,5629509.733,10261,12957881.5,2874243.437,0,2018/6/1 4:00
1.53E+12,0.22331,0.22539,0.21723,0.21962,21100915.94,1.53E+12,4667413.112,7681,11451942.32,2535843.338,0,2018/6/1 8:00
1.53E+12,0.21965,0.22569,0.21653,0.22357,18345247.48,1.53E+12,4046600.106,8082,11224795.64,2477745.811,0,2018/6/1 12:00
1.53E+12,0.22357,0.2285,0.215,0.2158,22936279.93,1.53E+12,5125254.581,9254,11665992.62,2608518.406,0,2018/6/1 16:00
1.53E+12,0.2158,0.22097,0.2143,0.21958,22100802.19,1.53E+12,4834402.898,8329,11555808.76,2527761.918,0,2018/6/1 20:00
1.53E+12,0.21958,0.22024,0.21347,0.2153,19838090.81,1.53E+12,4295345.095,7076,11228378.8,2434134.943,0,2018/6/2 0:00
1.53E+12,0.21549,0.22141,0.21405,0.22038,16014022.45,1.53E+12,3480016.285,6529,8861271.67,1924846.605,0,2018/6/2 4:00
1.53E+12,0.22038,0.22136,0.21684,0.21865,15420244.56,1.53E+12,3373082.37,6136,8667118.75,1896571.216,0,2018/6/2 8:00
1.53E+12,0.21843,0.2263,0.21666,0.22421,18491825.06,1.53E+12,4089201.894,7719,10461168.3,2314798.149,0,2018/6/2 12:00
1.53E+12,0.22459,0.2271,0.2236,0.22428,24153752.92,1.53E+12,5447169.25,8738,14152748.79,3192514.581,0,2018/6/2 16:00
1.53E+12,0.22453,0.2256,0.22177,0.22242,18181690.63,1.53E+12,4064137.411,6786,10370262.61,2318094.305,0,2018/6/2 20:00
1.53E+12,0.22244,0.22896,0.22129,0.22836,19518537.02,1.53E+12,4405067.486,7735,10493354.01,2368284.92,0,2018/6/3 0:00
1.53E+12,0.22836,0.23,0.22441,0.22648,16795503.55,1.53E+12,3810193.567,6231,9828350.11,2230108.191,0,2018/6/3 4:00
1.53E+12,0.22647,0.2315,0.22532,0.22631,18997187.94,1.53E+12,4344641.006,7024,10137053.58,2318922.853,0,2018/6/3 8:00
1.53E+12,0.2263,0.2361,0.2257,0.23354,19462736.04,1.53E+12,4490046.756,7636,11355241.43,2618452.359,0,2018/6/3 12:00
1.53E+12,0.23354,0.23677,0.2311,0.23284,19552674.86,1.53E+12,4576480.086,7145,11387674.01,2665703.967,0,2018/6/3 16:00
1.53E+12,0.23287,0.2365,0.227,0.23098,22963795.88,1.53E+12,5323510.756,7960,12508088.52,2903163.301,0,2018/6/3 20:00
1.53E+12,0.2311,0.23147,0.22259,0.22601,23440497.59,1.53E+12,5308955.406,8506,12400506.12,2806668.051,0,2018/6/4 0:00
1.53E+12,0.22601,0.22917,0.22499,0.22659,14099968.73,1.53E+12,3196244.833,4725,8260375.78,1872871.216,0,2018/6/4 4:00
1.53E+12,0.2266,0.2303,0.2235,0.22537,16705296,1.53E+12,3787728.643,6257,9572107.49,2168687.329,0,2018/6/4 8:00
1.53E+12,0.22537,0.22683,0.214,0.21585,24255734.78,1.53E+12,5324430.111,9652,12141328.09,2669853.747,0,2018/6/4 12:00
1.53E+12,0.2161,0.21755,0.20945,0.20995,24308706.03,1.53E+12,5210542.611,9009,12662149.18,2716454.693,0,2018/6/4 16:00
1.53E+12,0.21,0.2145,0.20882,0.21224,23392901.37,1.53E+12,4960592.738,7974,13411039.46,2843277.937,0,2018/6/4 20:00
1.53E+12,0.21253,0.2155,0.21107,0.21342,14888032.22,1.53E+12,3171314.631,4859,8608619.56,1833826.717,0,2018/6/5 0:00
1.53E+12,0.2136,0.21558,0.21081,0.21243,13993941.53,1.53E+12,2987445.186,5440,7599898.15,1623038.815,0,2018/6/5 4:00
1.53E+12,0.21217,0.2131,0.20291,0.20353,22043357.52,1.53E+12,4588208.366,8301,12012756.34,2503108.176,0,2018/6/5 8:00
1.53E+12,0.2035,0.20771,0.20221,0.20594,18731108.44,1.53E+12,3842035.691,6227,10431841.89,2139321.78,0,2018/6/5 12:00
1.53E+12,0.20594,0.2111,0.20477,0.20676,21726936.86,1.53E+12,4513217.048,7084,11835400.62,2459667.03,0,2018/6/5 16:00
1.53E+12,0.20675,0.21368,0.20371,0.21359,17678550.18,1.53E+12,3659519.413,7043,10109306.15,2095126.149,0,2018/6/5 20:00
1.53E+12,0.21368,0.2216,0.21355,0.21846,28940639.86,1.53E+12,6307576.856,10066,14686122.41,3203115.186,0,2018/6/6 0:00
1.53E+12,0.21872,0.21999,0.21551,0.21839,16941757.03,1.53E+12,3693191.653,5368,10482784.26,2285587.299,0,2018/6/6 4:00
1.53E+12,0.21835,0.21949,0.21633,0.21671,13637039.09,1.53E+12,2970606.632,4093,8110558.82,1767565.614,0,2018/6/6 8:00
1.53E+12,0.21671,0.21735,0.21306,0.21526,17650183.61,1.53E+12,3799167.5,6371,9817320.87,2113111.13,0,2018/6/6 12:00
1.53E+12,0.21517,0.2153,0.21158,0.21381,14638594.61,1.53E+12,3126249.029,5518,7524391.43,1607045.164,0,2018/6/6 16:00
1.53E+12,0.21408,0.21775,0.21336,0.21701,15169823.78,1.53E+12,3270494.478,5793,8512778.45,1835103.889,0,2018/6/6 20:00
1.53E+12,0.217,0.21739,0.20799,0.21074,19001411.35,1.53E+12,4008412.728,7709,10513270.39,2218812.221,0,2018/6/7 0:00
1.53E+12,0.21075,0.2169,0.20911,0.21452,15500879.56,1.53E+12,3317397.065,5811,8214135.63,1756759.505,0,2018/6/7 4:00
1.53E+12,0.2147,0.21863,0.214,0.21662,15463778.73,1.53E+12,3350185.498,5661,8671545.9,1878631.131,0,2018/6/7 8:00
1.53E+12,0.21663,0.21706,0.2105,0.21266,17330021.22,1.53E+12,3711307.637,6133,9831878.84,2108001.71,0,2018/6/7 12:00
1.53E+12,0.21265,0.2144,0.21111,0.21116,14167363.43,1.53E+12,3012545.815,4635,8631162.56,1835963.941,0,2018/6/7 16:00
1.53E+12,0.21116,0.21391,0.20961,0.21121,14995700.78,1.53E+12,3166901.002,5542,9341308.69,1973413.89,0,2018/6/7 20:00
1.53E+12,0.21122,0.212,0.20937,0.21068,13379026.89,1.53E+12,2818169.852,5108,7324700.23,1543380.616,0,2018/6/8 0:00
1.53E+12,0.2108,0.2112,0.208,0.21019,13159994.62,1.53E+12,2754105.185,4755,7371034.29,1542980.599,0,2018/6/8 4:00
1.53E+12,0.21034,0.21053,0.20439,0.20441,14448611.88,1.53E+12,3005500.969,5755,7608281.73,1584741.149,0,2018/6/8 8:00
1.53E+12,0.20441,0.20686,0.20308,0.20492,16513087.09,1.53E+12,3383750.721,5453,9731895.6,1994283.573,0,2018/6/8 12:00
1.53E+12,0.20494,0.20553,0.20025,0.20252,17035919.98,1.53E+12,3465889.236,6355,8827709.43,1795767.059,0,2018/6/8 16:00
1.53E+12,0.20252,0.2056,0.20099,0.2056,15107024.4,1.53E+12,3066516.251,5210,8444798.7,1714375.821,0,2018/6/8 20:00
1.53E+12,0.20549,0.2075,0.20452,0.20471,13191668.84,1.53E+12,2717553.275,4888,8137169.08,1676019.536,0,2018/6/9 0:00
1.53E+12,0.20502,0.20653,0.2043,0.2043,11740545.15,1.53E+12,2415717.619,3202,7296206.49,1501653.917,0,2018/6/9 4:00
1.53E+12,0.2043,0.21,0.20411,0.20862,13845273.88,1.53E+12,2860587.977,4744,8583249.51,1773713.437,0,2018/6/9 8:00
1.53E+12,0.20862,0.20926,0.20708,0.20758,11918227.24,1.53E+12,2480164.264,3473,7659282.59,1593860.853,0,2018/6/9 12:00
1.53E+12,0.20769,0.20769,0.20505,0.20513,13113297.22,1.53E+12,2701894.685,3518,7544846.3,1554326.961,0,2018/6/9 16:00
1.53E+12,0.20511,0.20564,0.20152,0.20453,14240510.9,1.53E+12,2900001.025,4786,8421245.96,1715269.14,0,2018/6/9 20:00
1.53E+12,0.20422,0.20455,0.2018,0.20275,12429275.36,1.53E+12,2524993.841,3741,7647946.45,1554262.097,0,2018/6/10 0:00
1.53E+12,0.20274,0.20359,0.20031,0.2011,12047705.71,1.53E+12,2440290.386,3559,5884193.15,1192396.978,0,2018/6/10 4:00
1.53E+12,0.20108,0.20108,0.1883,0.18875,28929307.89,1.53E+12,5594312.754,11023,13657514.14,2636419.542,0,2018/6/10 8:00
1.53E+12,0.18875,0.19154,0.1841,0.18439,18144087.8,1.53E+12,3425259.351,6836,9553311.4,1807963.616,0,2018/6/10 12:00
1.53E+12,0.18439,0.1908,0.1835,0.1903,18356237.16,1.53E+12,3436041.449,6910,10552388.81,1973881.19,0,2018/6/10 16:00
1.53E+12,0.1903,0.19166,0.1865,0.18834,17529841.06,1.53E+12,3323098.59,5101,10314165.48,1954740.14,0,2018/6/10 20:00
1.53E+12,0.18861,0.18868,0.17512,0.1815,33288989.69,1.53E+12,6003816.382,12482,15159798.72,2735847.925,0,2018/6/11 0:00
1.53E+12,0.18151,0.18167,0.16806,0.17346,25971666.76,1.53E+12,4516619.742,9839,12662191.57,2200093.831,0,2018/6/11 4:00
1.53E+12,0.17346,0.17788,0.168,0.17535,19810735.14,1.53E+12,3424599.724,7418,11027790.83,1905568.548,0,2018/6/11 8:00
1.53E+12,0.17559,0.17572,0.16672,0.16769,17666581.3,1.53E+12,3054629.109,6408,10929412.16,1891235.593,0,2018/6/11 12:00
1.53E+12,0.16733,0.17464,0.1665,0.17315,16134321.28,1.53E+12,2779000.034,5783,9633175.96,1657845.067,0,2018/6/11 16:00
