,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,7555.06,7699,7525.08,7544.9,5241.271985,1.53E+12,39710494.11,53196,2872.149859,21766203.33,0,2018/6/1 0:00
1.53E+12,7544.9,7575,7420.23,7485.01,4983.998171,1.53E+12,37375362.62,52089,2557.090403,19184075.77,0,2018/6/1 4:00
1.53E+12,7485.01,7538,7454.35,7495.13,4160.378149,1.53E+12,31202314.52,46194,2476.950346,18578767.38,0,2018/6/1 8:00
1.53E+12,7495.13,7608.55,7455.48,7572.09,4890.535346,1.53E+12,36790978.06,46410,2788.072025,20964475.35,0,2018/6/1 12:00
1.53E+12,7572.09,7599.99,7361.39,7361.39,5933.216361,1.53E+12,44689444.33,54088,3135.892118,23651433.5,0,2018/6/1 16:00
1.53E+12,7361.49,7461.06,7355.54,7447.3,5386.266853,1.53E+12,39963533.85,53616,3020.246624,22413873.56,0,2018/6/1 20:00
1.53E+12,7447.3,7461.08,7388.03,7440.14,3750.136594,1.53E+12,27886318.06,57821,1995.886711,14843185.04,0,2018/6/2 0:00
1.53E+12,7440.14,7540,7396,7521.01,4138.590775,1.53E+12,30925923.31,44940,2284.157607,17065120.84,0,2018/6/2 4:00
1.53E+12,7521.01,7533,7437,7500,3732.646415,1.53E+12,27974623.46,47939,1916.002484,14361694.41,0,2018/6/2 8:00
1.53E+12,7500,7685,7465.53,7641,4894.634117,1.53E+12,37071332.28,47031,2959.231852,22393576.58,0,2018/6/2 12:00
1.53E+12,7641,7695.17,7612,7652.28,5262.619083,1.53E+12,40279531.07,54662,2984.437487,22843649.33,0,2018/6/2 16:00
1.53E+12,7650,7697.33,7590.67,7623.1,4849.500964,1.53E+12,37049711.43,52449,2765.674359,21132982,0,2018/6/2 20:00
1.53E+12,7623.09,7672,7592.77,7665,4608.464654,1.53E+12,35225962.98,42675,2843.307537,21736276.75,0,2018/6/3 0:00
1.53E+12,7664.99,7672,7607.65,7640.03,3372.824986,1.53E+12,25769286.47,45375,2071.397405,15827819.88,0,2018/6/3 4:00
1.53E+12,7636.81,7676.12,7600,7643.1,3712.452876,1.53E+12,28381434.16,43038,2007.110022,15348259.15,0,2018/6/3 8:00
1.53E+12,7645.23,7786.69,7625,7720,4633.154524,1.53E+12,35629054.02,52571,2713.978735,20866833.03,0,2018/6/3 12:00
1.53E+12,7720,7776.25,7695.5,7714.85,5120.157359,1.53E+12,39605943.24,66536,2696.459115,20857174.91,0,2018/6/3 16:00
1.53E+12,7714.85,7750.26,7680.06,7730.01,4429.310377,1.53E+12,34175641.01,63191,2583.46144,19938710.11,0,2018/6/3 20:00
1.53E+12,7731,7739.97,7636.21,7699.57,5393.804494,1.53E+12,41474307.88,79969,3038.460493,23368697.66,0,2018/6/4 0:00
1.53E+12,7699.58,7729,7672.36,7714.26,4216.279321,1.53E+12,32470996.53,44331,2721.440863,20960745.92,0,2018/6/4 4:00
1.53E+12,7714.26,7760.52,7665.32,7690,4411.220582,1.53E+12,33993175.09,64549,2505.021273,19309847.93,0,2018/6/4 8:00
1.53E+12,7688.99,7707,7568,7597.7,6223.270341,1.53E+12,47520493.21,72339,3097.928666,23672738.85,0,2018/6/4 12:00
1.53E+12,7597.7,7628.98,7484.25,7505,7312.846478,1.53E+12,55379796.01,69398,3992.803906,30259297.09,0,2018/6/4 16:00
1.53E+12,7505,7538.99,7446.5,7496.99,5395.244612,1.53E+12,40437776.55,45082,2894.445453,21699645.89,0,2018/6/4 20:00
1.53E+12,7496.99,7515,7447,7494.99,4825.258593,1.53E+12,36122925.01,28075,2846.354622,21311521.97,0,2018/6/5 0:00
1.53E+12,7494.99,7548.82,7459,7487,4090.994509,1.53E+12,30712885.31,27560,2393.781898,17973372.07,0,2018/6/5 4:00
1.53E+12,7487,7518.8,7376.21,7417.36,5090.941305,1.53E+12,37869768.24,37849,2508.396239,18668268.1,0,2018/6/5 8:00
1.53E+12,7417.36,7455.94,7367.83,7412.01,4866.951874,1.53E+12,36076814.19,34146,2635.436469,19540179.04,0,2018/6/5 12:00
1.53E+12,7412.01,7470,7386.7,7428.88,4988.372156,1.53E+12,37068393.92,35072,2908.956313,21623475.1,0,2018/6/5 16:00
1.53E+12,7422.1,7594,7358,7577.09,5458.911206,1.53E+12,40617801.37,38221,2993.080919,22286220.46,0,2018/6/5 20:00
1.53E+12,7577.09,7679.49,7533.98,7621.01,7226.423544,1.53E+12,54934237.81,53670,4125.88262,31362133.82,0,2018/6/6 0:00
1.53E+12,7620.01,7650,7570.33,7625,4091.373299,1.53E+12,31155132.13,37907,2143.935839,16327234.41,0,2018/6/6 4:00
1.53E+12,7626.64,7647.77,7583,7595,3900.881977,1.53E+12,29710520.5,40474,2395.764171,18249667.83,0,2018/6/6 8:00
1.53E+12,7595,7690.52,7557,7619.15,4444.690336,1.53E+12,33860153.46,40725,2651.111185,20197697.92,0,2018/6/6 12:00
1.53E+12,7619.15,7638,7568.53,7619,4419.82224,1.53E+12,33624601.15,39964,2325.136641,17690013.71,0,2018/6/6 16:00
1.53E+12,7615.02,7680,7600.99,7650.5,4769.845146,1.53E+12,36425786.1,40960,2671.062807,20398132.88,0,2018/6/6 20:00
1.53E+12,7650.51,7669,7467.05,7526.87,5436.778376,1.53E+12,40941140.56,54847,2629.948806,19800320.26,0,2018/6/7 0:00
1.53E+12,7523.1,7699,7502.02,7658.84,4257.973823,1.53E+12,32444456,40603,2398.564259,18285284.55,0,2018/6/7 4:00
1.53E+12,7658.79,7765,7647.84,7722.28,4808.385649,1.53E+12,37093941.4,39089,2883.860657,22246152.36,0,2018/6/7 8:00
1.53E+12,7726.9,7730,7660.83,7708.31,4178.777694,1.53E+12,32205060.37,31931,2350.843153,18118255.2,0,2018/6/7 12:00
1.53E+12,7708.31,7742,7675,7696.23,5048.752565,1.53E+12,38887391.27,41725,2876.717176,22161807.46,0,2018/6/7 16:00
1.53E+12,7695.02,7740.9,7651.21,7691.43,3714.094828,1.53E+12,28591123.21,43155,1960.481397,15095591.63,0,2018/6/7 20:00
1.53E+12,7690.38,7735,7673,7695.12,3834.114051,1.53E+12,29518371.44,39918,2237.723225,17228103.25,0,2018/6/8 0:00
1.53E+12,7695.16,7700,7620,7691.08,3478.102415,1.53E+12,26653169.14,48368,2105.929593,16139370.37,0,2018/6/8 4:00
1.53E+12,7691.08,7703.5,7630,7630.5,3504.165718,1.53E+12,26877984.7,49120,2150.505625,16499168.64,0,2018/6/8 8:00
1.53E+12,7630.49,7654.98,7596,7627.88,4766.855398,1.53E+12,36369814.86,55638,2319.353159,17697645.77,0,2018/6/8 12:00
1.53E+12,7627.88,7638.64,7536,7558.99,4516.549359,1.53E+12,34243369.59,76169,2465.998682,18694636.58,0,2018/6/8 16:00
1.53E+12,7558.99,7651,7531,7627.51,4616.118938,1.53E+12,34931786.77,46831,2927.093288,22148539.41,0,2018/6/8 20:00
1.53E+12,7633.57,7668,7603.7,7641.13,3295.680496,1.53E+12,25181091.07,40597,1730.569972,13223390.75,0,2018/6/9 0:00
1.53E+12,7641.12,7664.43,7595,7603.44,2697.434762,1.53E+12,20600111.41,53379,1445.437611,11040318.05,0,2018/6/9 4:00
1.53E+12,7603.44,7683.98,7601.22,7661.15,2848.039552,1.53E+12,21773883.91,33463,1513.406105,11572081.24,0,2018/6/9 8:00
1.53E+12,7662.68,7682.08,7640,7649.01,1992.728616,1.53E+12,15265276.9,31795,1022.181877,7830775.675,0,2018/6/9 12:00
1.53E+12,7652.22,7666.66,7610.98,7635.01,2895.425938,1.53E+12,22118300.37,41303,1648.337817,12591787.08,0,2018/6/9 16:00
1.53E+12,7635.01,7650,7566,7610,3690.958393,1.53E+12,28063709.16,65506,2211.192779,16810101.16,0,2018/6/9 20:00
1.53E+12,7607.21,7624,7563.3,7613.86,3032.753554,1.53E+12,23030476.31,58913,1858.305148,14112820.38,0,2018/6/10 0:00
1.53E+12,7610.27,7629.94,7450,7491.73,4879.979123,1.53E+12,36919506.76,47991,2400.038397,18157752.14,0,2018/6/10 4:00
1.53E+12,7491.73,7491.73,7252.86,7261.03,8427.782132,1.53E+12,61789037.4,133094,4279.222154,31362638.92,0,2018/6/10 8:00
1.53E+12,7261.03,7315.41,7168.79,7185.53,5260.66715,1.53E+12,38249851.47,67074,2945.696671,21439670.94,0,2018/6/10 12:00
1.53E+12,7185.53,7250.43,7165.72,7235.1,5328.424062,1.53E+12,38464100.5,56478,2956.895689,21344557.15,0,2018/6/10 16:00
1.53E+12,7235.1,7293.21,7170.14,7228.78,4617.608062,1.53E+12,33409680.02,36226,2503.958189,18124445.57,0,2018/6/10 20:00
1.53E+12,7228.78,7244.07,6622.81,6839,17704.20692,1.53E+12,121458998.3,116706,7780.20299,53286877.93,0,2018/6/11 0:00
1.53E+12,6839.78,6841.35,6630,6764.99,11003.33171,1.53E+12,73967086.88,61510,5510.270973,37060751.26,0,2018/6/11 4:00
1.53E+12,6765,6826,6669.01,6768.6,7125.47448,1.53E+12,48105225.33,36769,3685.283996,24895101.85,0,2018/6/11 8:00
1.53E+12,6768.6,6795.55,6610,6625,4855.526781,1.53E+12,32681387.49,29951,2676.373415,18025363.61,0,2018/6/11 12:00
1.53E+12,6625,6824.67,6618.03,6770.56,5925.717043,1.53E+12,40021534.47,31691,3052.869476,20615009.98,0,2018/6/11 16:00
1.53E+12,6770.62,6779.69,6634.77,6682,5569.197366,1.53E+12,37398717.4,37715,2918.314124,19608014.76,0,2018/6/11 20:00
1.53E+12,6679.48,6783.5,6657.75,6747.65,5582.161584,1.53E+12,37531633.75,31729,3422.761422,23017671.99,0,2018/6/12 0:00
1.53E+12,6747.67,6922,6711,6872,5494.085049,1.53E+12,37318184.41,35587,2961.064624,20094418.73,0,2018/6/12 4:00
1.53E+12,6872,6890.51,6770.63,6811,5540.434096,1.53E+12,37913163.79,36548,3043.854909,20830577.93,0,2018/6/12 8:00
1.53E+12,6810.99,6847.53,6802.41,6825,3929.933087,1.53E+12,26817550.78,25929,2425.109129,16549937.33,0,2018/6/12 12:00
1.53E+12,6825.73,6872.68,6800,6831.7,4276.757739,1.53E+12,29221409.32,26708,2320.762511,15863327.28,0,2018/6/12 16:00
1.53E+12,6831.68,6834.01,6681.85,6760,6055.511646,1.53E+12,40817332.44,37574,3254.073579,21929135.99,0,2018/6/12 20:00
1.53E+12,6760,6761.55,6435,6497.97,9782.849137,1.53E+12,64538262.64,58557,4286.328073,28299454.35,0,2018/6/13 0:00
1.53E+12,6494.61,6576.61,6450,6530,7136.725486,1.53E+12,46480081.83,39342,3969.607307,25868705.11,0,2018/6/13 4:00
1.53E+12,6530,6567.5,6520,6537.63,4466.481786,1.53E+12,29235029.16,24376,2722.618136,17821228.24,0,2018/6/13 8:00
1.53E+12,6541.31,6627.6,6501.01,6537.44,4486.101143,1.53E+12,29443135.69,27042,2539.689933,16668674.22,0,2018/6/13 12:00
1.53E+12,6540.99,6562,6333,6447.01,11080.05168,1.53E+12,71330698,65392,6183.200782,39798901.69,0,2018/6/13 16:00
1.53E+12,6447.01,6487.96,6335.03,6366.31,7635.977451,1.53E+12,49117978.48,42224,4122.85555,26531130.47,0,2018/6/13 20:00
1.53E+12,6366.31,6408.32,6118.68,6273.87,13500.5968,1.53E+12,84773526.61,74934,6932.489655,43554289.02,0,2018/6/14 0:00
1.53E+12,6274,6346.88,6219,6292.78,5016.309243,1.53E+12,31495313.72,32549,2866.389303,18001053.79,0,2018/6/14 4:00
1.53E+12,6292.78,6523.69,6260,6497.05,7095.068914,1.53E+12,45345173.76,42617,4007.646173,25617481.58,0,2018/6/14 8:00
1.53E+12,6502.75,6513.74,6425.01,6477.59,5121.516772,1.53E+12,33148127.94,27610,2980.300623,19290730.04,0,2018/6/14 12:00
1.53E+12,6479.48,6556.77,6466.25,6528,6524.184847,1.53E+12,42426648.15,37703,3570.328038,23214712.4,0,2018/6/14 16:00
1.53E+12,6529.71,6535.9,6275.16,6344.35,8246.12261,1.53E+12,52850684.03,45625,4062.998273,26054616.34,0,2018/6/14 20:00
