,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,12.2655,12.74,12.19,12.4861,1184616.85,1.53E+12,14777623.26,11434,569566.82,7106452.041,0,2018/6/1 0:00
1.53E+12,12.4702,12.518,12.0736,12.2353,1092668.27,1.53E+12,13489310.39,11476,562174.84,6943711.238,0,2018/6/1 4:00
1.53E+12,12.2351,12.3798,12.1392,12.3108,985128.06,1.53E+12,12075112.09,11851,564797.06,6925841.802,0,2018/6/1 8:00
1.53E+12,12.3108,12.35,11.9217,12.2523,1043139.42,1.53E+12,12662779.21,9698,515816.04,6263439.476,0,2018/6/1 12:00
1.53E+12,12.2523,12.35,11.8776,11.9071,1071195.82,1.53E+12,13032503.35,7677,585554.82,7128060.431,0,2018/6/1 16:00
1.53E+12,11.8992,12.14,11.8354,12.1165,924779,1.53E+12,11123133.53,6798,499755.09,6012919.161,0,2018/6/1 20:00
1.53E+12,12.1245,12.3889,11.9413,11.9901,1041670.29,1.53E+12,12628051.53,9380,587964.66,7131950.952,0,2018/6/2 0:00
1.53E+12,11.9902,12.3738,11.93,12.2048,880224.29,1.53E+12,10639154.48,7686,491848.79,5947013.789,0,2018/6/2 4:00
1.53E+12,12.2143,12.4501,12.1039,12.3296,873521.63,1.53E+12,10716033.79,7041,468821.32,5756569.561,0,2018/6/2 8:00
1.53E+12,12.3296,12.8866,12.29,12.721,1088153.22,1.53E+12,13601856.26,10174,616294.44,7697664.339,0,2018/6/2 12:00
1.53E+12,12.73,14.55,12.7225,13.9841,2094692.51,1.53E+12,29022433.41,31837,1029302.43,14238661.41,0,2018/6/2 16:00
1.53E+12,13.9613,14.7171,13.68,14.5012,1536961.92,1.53E+12,21725108.1,20909,791754.63,11189018.39,0,2018/6/2 20:00
1.53E+12,14.5188,15.3499,14.3,15.1691,2003738.65,1.53E+12,29977566.42,29544,1032688.86,15452172.53,0,2018/6/3 0:00
1.53E+12,15.169,15.6774,14.01,14.6976,2215555.7,1.53E+12,32617463.79,33921,1140635.37,16788509.03,0,2018/6/3 4:00
1.53E+12,14.6976,15.0527,14.3959,14.4713,1024556.47,1.53E+12,15116223.32,14979,452128.43,6675044.978,0,2018/6/3 8:00
1.53E+12,14.4716,14.999,14.2266,14.8698,1008645.42,1.53E+12,14728540.55,13350,505249.72,7389963.323,0,2018/6/3 12:00
1.53E+12,14.87,14.889,14.566,14.7303,868316.57,1.53E+12,12783022.54,10279,394692.8,5810067.297,0,2018/6/3 16:00
1.53E+12,14.737,15.451,14.7176,14.9823,1253073.53,1.53E+12,18889296.79,19109,612076.19,9228088.943,0,2018/6/3 20:00
1.53E+12,14.9823,15.0404,14.2511,14.6392,943277.7,1.53E+12,13756402.72,15139,448649.66,6535715.92,0,2018/6/4 0:00
1.53E+12,14.6392,14.7777,14.31,14.5304,702846.69,1.53E+12,10254027.92,8874,318224.99,4640870.23,0,2018/6/4 4:00
1.53E+12,14.5304,14.8424,14.2522,14.4636,684974.94,1.53E+12,9968720.824,10299,333861.14,4860175.259,0,2018/6/4 8:00
1.53E+12,14.4636,14.5117,13.7,13.8885,1027949.42,1.53E+12,14461489.25,15523,521992.55,7346434.534,0,2018/6/4 12:00
1.53E+12,13.8885,14.0789,13.3762,13.5,903862.27,1.53E+12,12425751.17,14160,440178.39,6065076.895,0,2018/6/4 16:00
1.53E+12,13.5013,13.6328,13.23,13.4333,976113.54,1.53E+12,13127936.56,12290,494659.08,6655212.679,0,2018/6/4 20:00
1.53E+12,13.4333,13.7,13.2901,13.5914,616642.33,1.53E+12,8338311.282,8906,337486.42,4563762.427,0,2018/6/5 0:00
1.53E+12,13.6268,13.8019,13.3818,13.462,668574.03,1.53E+12,9114393.932,8653,319998.45,4364218.825,0,2018/6/5 4:00
1.53E+12,13.4619,13.62,12.9311,13.05,812832.54,1.53E+12,10793788.08,10872,381793.36,5074995.915,0,2018/6/5 8:00
1.53E+12,13.0501,13.2356,12.71,13.1,733741.12,1.53E+12,9560186.151,10450,315243.85,4112570.509,0,2018/6/5 12:00
1.53E+12,13.0999,14.1548,13.0857,13.63,1408304.58,1.53E+12,19248743.11,20889,715446.25,9775332.918,0,2018/6/5 16:00
1.53E+12,13.63,14.0548,13.3203,14.0548,1202711.8,1.53E+12,16370869.7,17366,709509.44,9667294.189,0,2018/6/5 20:00
1.53E+12,14.0548,14.3,13.8351,14.1,1243651.97,1.53E+12,17517479.98,16211,643788.53,9067094.495,0,2018/6/6 0:00
1.53E+12,14.0998,14.27,13.86,14.1996,1029360.83,1.53E+12,14498063.23,10680,581654.23,8195137.087,0,2018/6/6 4:00
1.53E+12,14.1978,14.3,13.9242,13.9242,943958.75,1.53E+12,13279158.03,9929,572310.28,8054187.195,0,2018/6/6 8:00
