,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,576.37,586.73,573,575.47,16120.05695,1.53E+12,9338869.048,15269,9114.91964,5280163.449,0,2018/6/1 0:00
1.53E+12,575.47,586.1,568,577.81,18050.04395,1.53E+12,10402765.67,18485,9175.22399,5289215.782,0,2018/6/1 4:00
1.53E+12,577.81,582.98,568.9,573.47,14646.79759,1.53E+12,8436277.771,14341,7020.35867,4045445.42,0,2018/6/1 8:00
1.53E+12,573.47,586.7,569.01,583.11,14758.51161,1.53E+12,8540675.465,14683,7908.48619,4575545.664,0,2018/6/1 12:00
1.53E+12,583.11,590.26,570.13,570.63,15906.40871,1.53E+12,9284107.658,16597,7438.44507,4344417.441,0,2018/6/1 16:00
1.53E+12,570.14,589.66,570,576.31,14676.15682,1.53E+12,8431447.569,13607,7619.33336,4379345.57,0,2018/6/1 20:00
1.53E+12,576.05,578.98,564.93,572.23,13993.4774,1.53E+12,7980701.561,14919,7297.95084,4162077.211,0,2018/6/2 0:00
1.53E+12,572.23,582.15,566,579,9859.48949,1.53E+12,5660964.74,11328,5869.94647,3371268.857,0,2018/6/2 4:00
1.53E+12,579,582.8,572.9,577.92,7500.40103,1.53E+12,4343834.952,9821,3319.35827,1923342.248,0,2018/6/2 8:00
1.53E+12,577.92,589.99,576.46,587.8,15733.27694,1.53E+12,9186297.703,13870,9142.91034,5345230.252,0,2018/6/2 12:00
1.53E+12,587.79,598,587,592.73,22605.38281,1.53E+12,13414596.22,21292,7931.51823,4702513.855,0,2018/6/2 16:00
1.53E+12,592.73,597.1,589,590.89,14330.89873,1.53E+12,8489676.753,12330,5113.27317,3029191.924,0,2018/6/2 20:00
1.53E+12,590.89,599.17,587.01,598.46,12914.56946,1.53E+12,7653566.249,13916,5808.64016,3445237.225,0,2018/6/3 0:00
1.53E+12,598.42,599,590,590.85,7173.61822,1.53E+12,4258996.259,9838,3336.74521,1981621.031,0,2018/6/3 4:00
1.53E+12,590.85,597.07,590.1,593.66,7496.30848,1.53E+12,4451957.501,9021,4068.21523,2416740.445,0,2018/6/3 8:00
1.53E+12,593.66,607.32,592,606.93,12520.29979,1.53E+12,7539270.671,10898,5572.09985,3352002.999,0,2018/6/3 12:00
1.53E+12,606.93,628.81,606.12,619.93,25810.57815,1.53E+12,16004027.53,23798,12688.63819,7865798.124,0,2018/6/3 16:00
