,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,1.7787,1.8369,1.75,1.7612,1371559.63,1.53E+12,2446718.851,3939,918664.89,1639744.455,0,2018/6/1 0:00
1.53E+12,1.7613,1.7799,1.7247,1.7547,1178389.56,1.53E+12,2066519.137,2810,647397.25,1134751.922,0,2018/6/1 4:00
1.53E+12,1.7548,1.773,1.7362,1.7474,1057484.08,1.53E+12,1856386.716,2005,600323.76,1054287.707,0,2018/6/1 8:00
1.53E+12,1.7473,1.8888,1.7128,1.8534,1525257.54,1.53E+12,2730836.59,5423,893400.39,1593275.714,0,2018/6/1 12:00
1.53E+12,1.8531,1.912,1.7685,1.7787,1459949.54,1.53E+12,2717031.146,5099,840167.7,1564225.818,0,2018/6/1 16:00
1.53E+12,1.7787,1.846,1.774,1.844,1459736.83,1.53E+12,2657007.01,4338,876498.15,1596287.089,0,2018/6/1 20:00
1.53E+12,1.844,1.8888,1.8252,1.8558,1226341.84,1.53E+12,2274358.681,4094,681703.4,1264108.041,0,2018/6/2 0:00
1.53E+12,1.8507,1.9539,1.8289,1.9242,1369936,1.53E+12,2594821.244,4936,780990.12,1476410.443,0,2018/6/2 4:00
1.53E+12,1.9269,1.947,1.91,1.9299,1105909.93,1.53E+12,2139543.946,3383,633459.5,1226221.08,0,2018/6/2 8:00
1.53E+12,1.93,1.95,1.8561,1.9313,1464477.26,1.53E+12,2802201.996,5197,894021.82,1714661.037,0,2018/6/2 12:00
1.53E+12,1.9298,1.9415,1.8511,1.8768,1263884,1.53E+12,2396958.398,5172,646406.27,1226384.417,0,2018/6/2 16:00
1.53E+12,1.8766,1.93,1.855,1.888,1316258,1.53E+12,2476886.744,4322,755844.57,1422281.729,0,2018/6/2 20:00
1.53E+12,1.8899,1.9256,1.8635,1.9094,1221361.44,1.53E+12,2305839.936,4475,698997.31,1320953.174,0,2018/6/3 0:00
1.53E+12,1.9138,1.92,1.87,1.8962,1043240.16,1.53E+12,1978840.716,3025,652873.1,1238032.084,0,2018/6/3 4:00
1.53E+12,1.8987,1.908,1.8773,1.8861,1038398.98,1.53E+12,1966709.76,2220,770375.02,1459251.975,0,2018/6/3 8:00
1.53E+12,1.8874,1.951,1.881,1.9501,1184320.7,1.53E+12,2274371.826,3332,758721.18,1456106.492,0,2018/6/3 12:00
1.53E+12,1.9462,1.9887,1.94,1.961,1340508.03,1.53E+12,2630678.979,3912,871791.86,1711441.229,0,2018/6/3 16:00
1.53E+12,1.9611,2.0132,1.9501,1.9657,1434059.66,1.53E+12,2836022.483,4782,910420.76,1800048.762,0,2018/6/3 20:00
1.53E+12,1.9585,1.9714,1.7242,1.8251,2813580.32,1.53E+12,5140322.332,10990,1431769.86,2610438.83,0,2018/6/4 0:00
1.53E+12,1.8251,1.837,1.785,1.8045,1283859.86,1.53E+12,2317549.745,3954,747330.34,1348463.914,0,2018/6/4 4:00
1.53E+12,1.8093,1.85,1.7813,1.7901,1423037.87,1.53E+12,2578971.621,4267,872473.91,1581549.945,0,2018/6/4 8:00
1.53E+12,1.7901,1.7949,1.6806,1.739,1527564.72,1.53E+12,2670600.57,5696,740994.74,1298241.567,0,2018/6/4 12:00
1.53E+12,1.741,1.79,1.711,1.7237,1544888.3,1.53E+12,2716508.939,5026,791635.13,1390806.427,0,2018/6/4 16:00
1.53E+12,1.7202,1.8,1.658,1.7379,1716239,1.53E+12,2959986.756,4915,1017246.72,1758341.372,0,2018/6/4 20:00
1.53E+12,1.7379,1.74,1.6854,1.7231,1184336.41,1.53E+12,2033422.746,3265,710304.18,1220791.466,0,2018/6/5 0:00
1.53E+12,1.7178,1.75,1.6961,1.7157,1100062.11,1.53E+12,1902286.761,2688,693894.83,1199561.43,0,2018/6/5 4:00
1.53E+12,1.7159,1.7361,1.6613,1.6747,1080361.37,1.53E+12,1839074.345,2868,647159.17,1102180.785,0,2018/6/5 8:00
1.53E+12,1.6757,1.6974,1.6561,1.6683,1017368.05,1.53E+12,1704364.933,2291,555195.05,930774.2066,0,2018/6/5 12:00
1.53E+12,1.6683,1.712,1.6643,1.7043,1061695.98,1.53E+12,1797914.385,3176,690570.28,1170846.294,0,2018/6/5 16:00
1.53E+12,1.7043,1.72,1.6698,1.72,785304.66,1.53E+12,1330085.596,2673,507237.59,859195.0368,0,2018/6/5 20:00
1.53E+12,1.72,1.7849,1.7178,1.7663,2289550.31,1.53E+12,4014119.48,5859,1190036.44,2083619.253,0,2018/6/6 0:00
1.53E+12,1.7664,1.775,1.7235,1.7433,1290183.07,1.53E+12,2259960.273,3551,790938.15,1386124.016,0,2018/6/6 4:00
1.53E+12,1.7434,1.7666,1.7322,1.7497,973108.68,1.53E+12,1700437.541,2254,614988.09,1074614.377,0,2018/6/6 8:00
1.53E+12,1.7494,1.7678,1.7257,1.7456,843608.9,1.53E+12,1469543.805,2329,593593.58,1033948.989,0,2018/6/6 12:00
