,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,118.88,121,118.46,119.23,8476.28705,1.53E+12,1014575.999,2796,3893.77512,466367.4047,0,2018/6/1 0:00
1.53E+12,119.18,119.93,117,118.25,9649.74085,1.53E+12,1139473.21,2762,3304.23478,390882.675,0,2018/6/1 4:00
1.53E+12,118.25,119,117.8,118.32,5253.96269,1.53E+12,622249.476,1770,2754.25568,326234.6223,0,2018/6/1 8:00
1.53E+12,118.32,120,117.7,118.98,10078.6784,1.53E+12,1199219.722,2203,7105.13537,846014.5064,0,2018/6/1 12:00
1.53E+12,118.98,120.36,117.11,117.11,10703.67081,1.53E+12,1272862.781,2862,4649.18566,554970.3393,0,2018/6/1 16:00
1.53E+12,117.11,118.89,116.62,118.53,8875.43579,1.53E+12,1045743.201,2013,4595.83329,541616.8295,0,2018/6/1 20:00
1.53E+12,118.75,119.08,117.92,118.69,7771.51813,1.53E+12,921428.8553,1787,4020.36106,477057.6032,0,2018/6/2 0:00
1.53E+12,118.68,120.4,118.25,120.19,8922.14952,1.53E+12,1066868.251,1838,5761.46242,689595.9533,0,2018/6/2 4:00
1.53E+12,120.19,120.43,118.66,119.76,6788.59378,1.53E+12,812873.2297,1727,3058.18821,366595.9398,0,2018/6/2 8:00
1.53E+12,119.75,123.52,119.33,122.96,11531.59097,1.53E+12,1400903.725,4234,6939.03362,841730.2769,0,2018/6/2 12:00
1.53E+12,122.96,124.22,121.89,122.9,7104.35993,1.53E+12,875938.4351,2623,3281.86263,404864.3526,0,2018/6/2 16:00
1.53E+12,123.14,123.78,121.64,122.63,7366.2575,1.53E+12,902665.6557,2357,3263.76348,400135.4992,0,2018/6/2 20:00
1.53E+12,122.63,124.5,121.68,124.09,6582.04279,1.53E+12,809879.4477,2002,4179.55651,514566.216,0,2018/6/3 0:00
1.53E+12,124.26,124.3,122.91,123.44,5686.48801,1.53E+12,702494.949,1630,2310.62523,285508.2581,0,2018/6/3 4:00
1.53E+12,123.44,123.92,122.23,122.57,4447.95173,1.53E+12,548037.4225,1666,2303.25452,284119.1891,0,2018/6/3 8:00
1.53E+12,122.57,125.12,122.44,124.89,7031.94721,1.53E+12,872292.7501,3281,3897.9548,483941.6658,0,2018/6/3 12:00
1.53E+12,124.89,127.98,124.68,126.93,12543.53291,1.53E+12,1588096.479,4848,6185.0563,782494.7292,0,2018/6/3 16:00
1.53E+12,126.93,127.84,125.82,127,8905.08435,1.53E+12,1129302.28,2628,3727.63661,472830.5164,0,2018/6/3 20:00
1.53E+12,127.02,127.5,123.53,124.8,12753.88303,1.53E+12,1597421.811,3565,6267.80504,784933.6702,0,2018/6/4 0:00
1.53E+12,124.81,125.86,124.53,125.33,7202.08475,1.53E+12,901478.1623,2084,2985.57164,373756.4126,0,2018/6/4 4:00
1.53E+12,125.07,127.01,124.63,124.69,7852.76302,1.53E+12,988084.7963,2742,3846.84176,484320.3727,0,2018/6/4 8:00
1.53E+12,124.88,125.25,121.55,122.51,8061.79397,1.53E+12,990951.0031,3030,2993.74794,368189.7075,0,2018/6/4 12:00
1.53E+12,122.51,122.66,119.34,119.97,10547.40566,1.53E+12,1280432.867,3547,4137.66004,502452.6891,0,2018/6/4 16:00
1.53E+12,119.97,120.67,118,119.45,21251.6669,1.53E+12,2536708.084,3969,10688.88951,1274927.207,0,2018/6/4 20:00
1.53E+12,119.45,119.72,118.32,118.98,3945.76195,1.53E+12,470169.3196,1486,1943.14855,231718.7948,0,2018/6/5 0:00
1.53E+12,118.85,120.51,118.74,119.77,8026.854,1.53E+12,960664.0252,1718,4947.13558,592568.1862,0,2018/6/5 4:00
1.53E+12,119.77,120.2,116.38,116.8,8652.70623,1.53E+12,1021563.997,3154,4277.03276,505071.1213,0,2018/6/5 8:00
1.53E+12,116.8,117.78,115.77,117.2,7088.19009,1.53E+12,826490.6315,2259,3034.71376,354366.923,0,2018/6/5 12:00
1.53E+12,116.98,118.66,116.8,117.51,5192.70813,1.53E+12,610779.7382,2424,2758.18741,324569.499,0,2018/6/5 16:00
1.53E+12,117.54,120.31,116.6,120.31,7360.09698,1.53E+12,868965.4326,2770,5015.16267,593540.8412,0,2018/6/5 20:00
1.53E+12,120.24,122.5,119.94,121.18,14102.4602,1.53E+12,1709505.791,3841,7326.86571,888330.5592,0,2018/6/6 0:00
1.53E+12,121.2,122.6,120.14,122.18,6483.46587,1.53E+12,786241.2783,2231,3204.74938,388777.0907,0,2018/6/6 4:00
1.53E+12,122.2,122.6,120.65,121.02,4396.61353,1.53E+12,534522.0521,1562,1600.86146,194804.3459,0,2018/6/6 8:00
1.53E+12,121.1,122.6,119.99,121.84,6176.63267,1.53E+12,748500.9313,2043,3317.77109,402141.9135,0,2018/6/6 12:00
1.53E+12,121.84,122.45,120.51,121.52,2969.35237,1.53E+12,360693.5253,1722,1543.4844,187512.5959,0,2018/6/6 16:00
