,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,0.30185,0.30489,0.29501,0.29787,4433952.45,1.53E+12,1328133.657,2532,2646477.94,792975.8888,0,2018/6/1 0:00
1.53E+12,0.29775,0.3,0.28799,0.29568,3292917.39,1.53E+12,968378.2469,1843,1870973.57,549875.8603,0,2018/6/1 4:00
1.53E+12,0.29567,0.29999,0.29059,0.29434,3009106.03,1.53E+12,889465.8104,1647,1663823.44,491905.3735,0,2018/6/1 8:00
1.53E+12,0.29435,0.29727,0.28996,0.29636,3277300.25,1.53E+12,959840.4033,1923,1959014.98,573962.3336,0,2018/6/1 12:00
1.53E+12,0.29638,0.298,0.2863,0.2863,3484708.14,1.53E+12,1026825.194,2203,1977200.86,582862.2016,0,2018/6/1 16:00
1.53E+12,0.2863,0.2898,0.2857,0.2898,3447868.57,1.53E+12,989572.7975,2395,1971716.46,566074.0967,0,2018/6/1 20:00
1.53E+12,0.28849,0.29,0.27963,0.28326,4312361.37,1.53E+12,1224284.722,2535,2794852.45,792988.015,0,2018/6/2 0:00
1.53E+12,0.28326,0.28958,0.28196,0.28863,2832150,1.53E+12,808017.9282,1875,1642520.29,468264.75,0,2018/6/2 4:00
1.53E+12,0.28869,0.294,0.28812,0.28982,2881301.91,1.53E+12,838941.9522,1953,1736182.75,505756.5292,0,2018/6/2 8:00
1.53E+12,0.28982,0.298,0.28865,0.296,3815280.33,1.53E+12,1117471.821,2279,2805370.31,821628.9068,0,2018/6/2 12:00
1.53E+12,0.29601,0.30489,0.29601,0.29997,4587694.77,1.53E+12,1374197.513,2563,2992780.53,896713.8626,0,2018/6/2 16:00
1.53E+12,0.29994,0.30268,0.29781,0.29817,3862964.2,1.53E+12,1159044.991,2059,2041827.74,612884.0732,0,2018/6/2 20:00
1.53E+12,0.2982,0.3,0.29297,0.29888,3571431.74,1.53E+12,1062204.901,2376,2003307.66,596275.216,0,2018/6/3 0:00
1.53E+12,0.29888,0.29997,0.29514,0.2974,3112601.58,1.53E+12,926872.6251,2082,2093641.81,623519.509,0,2018/6/3 4:00
1.53E+12,0.29741,0.30197,0.29651,0.29889,3038884.39,1.53E+12,909858.9761,1643,2010488.8,601701.9157,0,2018/6/3 8:00
1.53E+12,0.29889,0.30809,0.29742,0.30651,3922944.06,1.53E+12,1182000.291,3522,2496388.6,752288.5026,0,2018/6/3 12:00
1.53E+12,0.30652,0.312,0.30448,0.30512,3607207.67,1.53E+12,1108462.435,5181,1966718.52,604499.4111,0,2018/6/3 16:00
1.53E+12,0.30519,0.312,0.30501,0.30911,3957056.37,1.53E+12,1214635.678,3287,2340564.63,718532.9462,0,2018/6/3 20:00
1.53E+12,0.30912,0.30973,0.29838,0.30376,4178223.42,1.53E+12,1270576.006,3263,2698573.4,821574.0859,0,2018/6/4 0:00
1.53E+12,0.30377,0.30567,0.30065,0.30405,2935715.35,1.53E+12,886748.4307,1454,2178561.56,658111.6164,0,2018/6/4 4:00
1.53E+12,0.30406,0.31104,0.3013,0.30438,2780210.82,1.53E+12,850592.4746,2377,1499489.62,458999.1859,0,2018/6/4 8:00
1.53E+12,0.30436,0.31,0.2962,0.29754,3343989.47,1.53E+12,1012399.173,2554,2010915.19,608655.5716,0,2018/6/4 12:00
1.53E+12,0.29691,0.29874,0.29,0.29,3399607.33,1.53E+12,1003291.823,2182,1755441,518626.4868,0,2018/6/4 16:00
1.53E+12,0.29001,0.29399,0.28501,0.28962,3241988.49,1.53E+12,937649.5737,2077,1715638.21,496499.4459,0,2018/6/4 20:00
1.53E+12,0.28874,0.2902,0.28588,0.28896,2654828.54,1.53E+12,764196.2896,1383,1509211.21,434317.2354,0,2018/6/5 0:00
1.53E+12,0.28895,0.295,0.28787,0.2908,2066902.24,1.53E+12,602380.4845,1383,1232366.43,359191.0511,0,2018/6/5 4:00
1.53E+12,0.29022,0.29312,0.28,0.28251,2083419.58,1.53E+12,596717.7271,1542,1229603.18,352451.6283,0,2018/6/5 8:00
1.53E+12,0.28254,0.28501,0.27801,0.28383,2704477.11,1.53E+12,764502.0676,1613,1691714.47,478645.0236,0,2018/6/5 12:00
1.53E+12,0.28311,0.2892,0.28199,0.28488,2319306.8,1.53E+12,660417.7019,1333,1457042.62,415064.9754,0,2018/6/5 16:00
1.53E+12,0.28463,0.2933,0.28201,0.29327,2401047.09,1.53E+12,685368.5039,4860,1300441.7,371686.435,0,2018/6/5 20:00
1.53E+12,0.2931,0.29876,0.29192,0.29539,3335389.84,1.53E+12,985792.5271,2681,1823509.38,539021.8491,0,2018/6/6 0:00
1.53E+12,0.29539,0.29606,0.29162,0.29403,2416024.65,1.53E+12,710611.2487,3219,1218511.43,358330.4243,0,2018/6/6 4:00
1.53E+12,0.29403,0.29559,0.29117,0.29201,1971057.38,1.53E+12,579053.3128,1196,1478964.25,434602.4418,0,2018/6/6 8:00
1.53E+12,0.29201,0.2938,0.28895,0.292,2796117.32,1.53E+12,815292.2815,1303,2350539.96,685330.0079,0,2018/6/6 12:00
1.53E+12,0.2924,0.29439,0.28873,0.29214,2123503.81,1.53E+12,619639.3551,2578,1180004.43,344565.1859,0,2018/6/6 16:00
1.53E+12,0.29204,0.29776,0.29021,0.29649,2311914.78,1.53E+12,680508.8234,1441,1489551.86,438536.5061,0,2018/6/6 20:00
1.53E+12,0.29617,0.29701,0.28817,0.29143,2897473.79,1.53E+12,844449.5177,2512,1787475.87,520825.8415,0,2018/6/7 0:00
1.53E+12,0.29036,0.30151,0.28908,0.2995,3472771.95,1.53E+12,1028599.758,4122,1961754.53,581623.2685,0,2018/6/7 4:00
1.53E+12,0.29959,0.3062,0.29877,0.3013,4240178.29,1.53E+12,1284594.32,3488,2292256.72,694393.3989,0,2018/6/7 8:00
1.53E+12,0.30127,0.3038,0.29929,0.30063,2566243.99,1.53E+12,772549.5639,1403,1390215.65,418661.0694,0,2018/6/7 12:00
1.53E+12,0.30064,0.30249,0.29852,0.30039,2763283.16,1.53E+12,828224.9407,2945,1632627.02,489378.8615,0,2018/6/7 16:00
1.53E+12,0.30037,0.30102,0.295,0.29663,2685545.37,1.53E+12,800131.0363,2890,1567963.89,467386.9029,0,2018/6/7 20:00
1.53E+12,0.29601,0.2993,0.2945,0.29901,2847051.12,1.53E+12,846402.8649,3673,1887717.91,560935.2418,0,2018/6/8 0:00
1.53E+12,0.29901,0.2994,0.29,0.29298,2771172.41,1.53E+12,817511.2287,2162,1547512.85,455315.9377,0,2018/6/8 4:00
1.53E+12,0.29284,0.29542,0.29072,0.29154,2786604.49,1.53E+12,816587.5073,1827,1813945.42,531852.955,0,2018/6/8 8:00
1.53E+12,0.2915,0.29197,0.287,0.28808,2856406.38,1.53E+12,826289.8578,1531,1926248.83,557294.7693,0,2018/6/8 12:00
1.53E+12,0.28808,0.28948,0.28471,0.28522,3270985.27,1.53E+12,939008.9383,1633,1712752.55,491734.1111,0,2018/6/8 16:00
1.53E+12,0.28497,0.28938,0.28474,0.28893,2481073.96,1.53E+12,710697.86,1272,1115373.27,319782.2879,0,2018/6/8 20:00
1.53E+12,0.28852,0.29328,0.28619,0.2901,3269458.14,1.53E+12,950976.9171,1639,1930885.2,561752.2175,0,2018/6/9 0:00
1.53E+12,0.29007,0.29108,0.28605,0.28698,3084705.31,1.53E+12,892001.5028,1396,2156997.18,623369.6004,0,2018/6/9 4:00
1.53E+12,0.28698,0.29135,0.28601,0.28998,2927964.65,1.53E+12,845255.3966,1298,1872266.3,541238.3934,0,2018/6/9 8:00
