,Open,High,Low,Close,,,,,,,,Timestamp
1.53E+12,0.61575,0.62255,0.6085,0.61568,6214918.95,1.53E+12,3823527.294,5510,3609393.18,2221340.445,0,2018/6/1 0:00
1.53E+12,0.61533,0.61849,0.602,0.6114,5430016.93,1.53E+12,3321805.171,4684,2750291.72,1682499.432,0,2018/6/1 4:00
1.53E+12,0.6114,0.61549,0.606,0.61168,4548958.51,1.53E+12,2774851.877,3455,2743922.55,1674249.818,0,2018/6/1 8:00
1.53E+12,0.61095,0.6187,0.6065,0.6151,5798744.88,1.53E+12,3545888.168,4503,4152386.82,2539327.432,0,2018/6/1 12:00
1.53E+12,0.61475,0.6192,0.6066,0.6066,7102032.53,1.53E+12,4374373.542,5411,4028846.87,2482229.324,0,2018/6/1 16:00
1.53E+12,0.6066,0.6204,0.6024,0.61305,5998193.09,1.53E+12,3665001.154,4915,3560169.56,2176822.195,0,2018/6/1 20:00
1.53E+12,0.61355,0.61484,0.605,0.61089,4997854.63,1.53E+12,3048729.178,3725,2862020.32,1746417.938,0,2018/6/2 0:00
1.53E+12,0.6109,0.62428,0.60909,0.62151,5957578.23,1.53E+12,3662553.611,4873,3317759.43,2040985.331,0,2018/6/2 4:00
1.53E+12,0.62236,0.623,0.61513,0.62048,5931777.88,1.53E+12,3680086.046,4071,3320548.52,2060157.053,0,2018/6/2 8:00
1.53E+12,0.62049,0.64,0.6184,0.63659,6486557.26,1.53E+12,4064145.446,5979,4453096.21,2788346.072,0,2018/6/2 12:00
1.53E+12,0.63709,0.65,0.6366,0.646,6692476.59,1.53E+12,4312056.05,6775,3946833.58,2543026.049,0,2018/6/2 16:00
1.53E+12,0.64599,0.65204,0.6388,0.6427,6640541.46,1.53E+12,4281338.968,5461,3912370.52,2522459.957,0,2018/6/2 20:00
1.53E+12,0.64283,0.64776,0.636,0.64448,5630748.6,1.53E+12,3619943.507,4424,3437487.47,2210160.987,0,2018/6/3 0:00
1.53E+12,0.64449,0.64616,0.64,0.64269,5829430.41,1.53E+12,3744990.099,3860,3082889.97,1981245.129,0,2018/6/3 4:00
1.53E+12,0.64285,0.65215,0.63862,0.64332,5734966.24,1.53E+12,3699956.076,4289,3340460.93,2154792.967,0,2018/6/3 8:00
1.53E+12,0.64284,0.6568,0.641,0.65578,5285878.92,1.53E+12,3426902.215,4394,3331545.22,2158916.326,0,2018/6/3 12:00
1.53E+12,0.65651,0.67,0.65553,0.66204,6474741.76,1.53E+12,4289374.791,5948,3843327.28,2545937.41,0,2018/6/3 16:00
1.53E+12,0.66204,0.67589,0.65832,0.671,6234451.82,1.53E+12,4167898.257,6868,3477842.29,2325215.745,0,2018/6/3 20:00
1.53E+12,0.671,0.671,0.65,0.65783,6526612.26,1.53E+12,4312919.011,7020,4200810.44,2776443.286,0,2018/6/4 0:00
1.53E+12,0.65809,0.69101,0.65607,0.6901,6886064.53,1.53E+12,4589215.29,6244,3538648.23,2357794.246,0,2018/6/4 4:00
1.53E+12,0.6901,0.707,0.6802,0.69201,9019698.73,1.53E+12,6262097.038,11010,4723626.03,3279742.325,0,2018/6/4 8:00
1.53E+12,0.69179,0.69389,0.6552,0.66211,8317170.56,1.53E+12,5608149.938,9255,4639686.1,3132449.705,0,2018/6/4 12:00
1.53E+12,0.66211,0.67193,0.64019,0.64308,8553668.23,1.53E+12,5625677.637,8978,4067203.88,2677988.538,0,2018/6/4 16:00
1.53E+12,0.64479,0.65353,0.6351,0.64708,7452805.03,1.53E+12,4808909.471,7334,4020702.1,2595387.986,0,2018/6/4 20:00
1.53E+12,0.64661,0.65288,0.6387,0.64818,5979159.03,1.53E+12,3863449.283,5298,3688630.4,2384094.443,0,2018/6/5 0:00
1.53E+12,0.64818,0.67814,0.64624,0.65507,8967481.07,1.53E+12,5932333.722,9644,4858285.84,3210129.497,0,2018/6/5 4:00
1.53E+12,0.65508,0.6622,0.6328,0.64083,7790646.01,1.53E+12,5034428.032,7336,4830378.52,3119471.434,0,2018/6/5 8:00
1.53E+12,0.64119,0.65606,0.63665,0.65133,6075527.82,1.53E+12,3931018.444,5511,3660400.72,2369962.186,0,2018/6/5 12:00
1.53E+12,0.65036,0.665,0.649,0.662,6096608.26,1.53E+12,3999263.397,6130,3462384.79,2271009.952,0,2018/6/5 16:00
1.53E+12,0.662,0.67096,0.65135,0.67011,7601216.74,1.53E+12,5010348.259,7054,4147620.76,2737825.231,0,2018/6/5 20:00
1.53E+12,0.671,0.686,0.6695,0.67362,8177668.01,1.53E+12,5532034.776,8040,4835410.21,3272098.723,0,2018/6/6 0:00
1.53E+12,0.67329,0.6816,0.66329,0.67464,6767720.93,1.53E+12,4563489.223,5500,3882779.98,2619091.62,0,2018/6/6 4:00
1.53E+12,0.67507,0.678,0.66733,0.67131,5307339.34,1.53E+12,3573425.404,4324,3619024.58,2437197.264,0,2018/6/6 8:00
1.53E+12,0.67172,0.6833,0.66439,0.67349,6426986.11,1.53E+12,4320584.893,5716,3648364.35,2453961.707,0,2018/6/6 12:00
1.53E+12,0.673,0.67401,0.66621,0.67,4646285.36,1.53E+12,3111618.303,4433,2779966.41,1861700.225,0,2018/6/6 16:00
1.53E+12,0.67,0.6815,0.66908,0.68001,5599239.53,1.53E+12,3770507.744,5033,3461224.32,2330809.399,0,2018/6/6 20:00
1.53E+12,0.68001,0.68221,0.653,0.66229,7472387.71,1.53E+12,4952510.918,7073,4094148.01,2712231.014,0,2018/6/7 0:00
1.53E+12,0.6628,0.6789,0.66005,0.6741,4873945.74,1.53E+12,3268917.386,4845,2996305.89,2009904.432,0,2018/6/7 4:00
1.53E+12,0.6738,0.68999,0.67252,0.68097,5963289.94,1.53E+12,4058403.878,6239,3748491.13,2550677.32,0,2018/6/7 8:00
1.53E+12,0.68098,0.68477,0.6739,0.68477,5878389.96,1.53E+12,3993677.343,4472,3542834.18,2406595.447,0,2018/6/7 12:00
1.53E+12,0.68475,0.69,0.67737,0.68081,6033738.64,1.53E+12,4117042.159,4885,3625935.76,2474315.286,0,2018/6/7 16:00
1.53E+12,0.68034,0.6842,0.67201,0.67845,6067326.9,1.53E+12,4125571.515,4694,3694986.15,2513926.7,0,2018/6/7 20:00
1.53E+12,0.67805,0.6852,0.67685,0.68167,5043532.84,1.53E+12,3433957.475,3689,3250643.64,2213663.155,0,2018/6/8 0:00
1.53E+12,0.68166,0.683,0.67089,0.67756,6045540.76,1.53E+12,4080632.345,5010,3724001.17,2513800.659,0,2018/6/8 4:00
1.53E+12,0.6777,0.68,0.66768,0.66879,5422442.33,1.53E+12,3660110.827,3748,3414206.71,2305442.342,0,2018/6/8 8:00
1.53E+12,0.66879,0.6718,0.66514,0.66632,4989814.99,1.53E+12,3337542.34,3572,2780476.61,1859967.173,0,2018/6/8 12:00
1.53E+12,0.66632,0.67001,0.65832,0.6624,5860444.12,1.53E+12,3895533.865,4541,3135323.74,2086114.418,0,2018/6/8 16:00
1.53E+12,0.6624,0.67,0.65914,0.66712,5226387.52,1.53E+12,3471811.108,3755,3299554.94,2191967.524,0,2018/6/8 20:00
1.53E+12,0.66711,0.678,0.66616,0.67655,5253368.81,1.53E+12,3534998.517,4231,3239556.59,2179984.672,0,2018/6/9 0:00
1.53E+12,0.67638,0.6775,0.67109,0.6721,5337146.25,1.53E+12,3602860.666,3143,2867964.54,1936328.151,0,2018/6/9 4:00
1.53E+12,0.67211,0.67968,0.6719,0.6759,5140736,1.53E+12,3475389.154,3366,3378677.65,2284788.876,0,2018/6/9 8:00
1.53E+12,0.67544,0.68,0.67246,0.67468,4837221.85,1.53E+12,3274255.909,3265,2941848.28,1991615.414,0,2018/6/9 12:00
1.53E+12,0.67434,0.6751,0.6698,0.67189,5430420.62,1.53E+12,3652548.363,2980,3294984.28,2216502.018,0,2018/6/9 16:00
1.53E+12,0.6719,0.6728,0.661,0.66603,6011655.99,1.53E+12,4007002.131,4141,3277640.99,2185469.937,0,2018/6/9 20:00
1.53E+12,0.66639,0.66683,0.66199,0.66527,5037594.13,1.53E+12,3346863.184,3024,2652419.55,1762634.441,0,2018/6/10 0:00
1.53E+12,0.66528,0.66819,0.65514,0.6574,4865583.25,1.53E+12,3232021.133,3000,2660635.15,1767788.289,0,2018/6/10 4:00
1.53E+12,0.65687,0.6585,0.6335,0.6335,7013005.44,1.53E+12,4509884.756,6770,3568032.32,2295145.872,0,2018/6/10 8:00
1.53E+12,0.63355,0.63841,0.615,0.61594,6410816.32,1.53E+12,4051654.575,5498,3377260.87,2135910.717,0,2018/6/10 12:00
